created_date,hashtags,num_hashtags,tweet_length,tweet_text
2020-08-23 22:47:43,CovidHoax Covid19Millionaires,2,95,"@AP4Liberty I wouldn’t be shocked if it never existed. 
    #CovidHoax 
   #Covid19Millionaires"
2020-08-23 22:47:37,,0,125,"Democrats:

Trump killed everyone. 

Bill Clinton let Bin Laden go, he is to blame for 9/11.. right?… https://t.co/Czk3ueqiql"
2020-08-23 22:43:40,COVID__19 COVIDIOTS CovidHoax,3,115,We are still suffering from the Trump / Pence bonus surge. #COVID__19 #COVIDIOTS #CovidHoax https://t.co/9sB378oqN3
2020-08-23 22:42:34,newjersey falsepositive COVID CovidHoax,4,140,"Just in case you think #newjersey isnt testing to create #falsepositive #COVID #CovidHoax
@PhilMurphyNJ I especiall… https://t.co/9EkQowsLxj"
2020-08-23 22:40:15,cancelfinalyearexams CovidHoax,2,140,"#cancelfinalyearexams 
#CovidHoax 
a temporary interruption of laboratory data reporting to DPH.  This means that o… https://t.co/0Gaa3UAOOq"
2020-08-23 22:34:44,,0,140,"I'm guessing a lot. We pretty much all ""have it"" now. And that's a good thing. Our immune systems are a wondrous th… https://t.co/8NCzQPLCwC"
2020-08-23 22:23:28,,0,140,Went into @ultabeauty for the first time in a while. Fuck that. Talk about a totalitarian vibe. You have 15 minutes… https://t.co/l24dS7otVv
2020-08-23 22:14:23,CovidHoax BidenHarris,2,140,"WOW if this doesn't SCREAM #CovidHoax I don't know what does, if #BidenHarris can ""out of the blue"" at that point w… https://t.co/sjEC8udcnb"
2020-08-23 22:11:01,COVIDー19,1,140,"I'm gonna add a poll because I'm generally curious about what people think.

9/9

~~~would you rather~~~

#COVIDー19… https://t.co/1Ow9S5NmlP"
2020-08-23 22:08:21,CovidHoax,1,130,@Old_man_Bateman @realCarrickRyan This report Lancet Oncology re cancer deaths in UK thanks to #CovidHoax… https://t.co/EBZQaTnjh3
2020-08-23 22:06:54,CovidHoax WW3AI,2,140,"#CovidHoax #WW3AI

When you're hypnotized 
to the point of being a nazi
or masked sheep
you're AI already.
Your min… https://t.co/vTLWw9H59q"
2020-08-23 22:01:58,Plandemic CovidHoax,2,139,"Research is supposed to come before development! So when the heck was the research started? 
#Plandemic
#CovidHoax… https://t.co/sm8K4kv2hK"
2020-08-23 22:00:45,CovidHoax,1,89,@KevinMKruse Yesterday @US_FDA deep state per @realDonaldTrump! Today cure for #CovidHoax
2020-08-23 21:58:33,CovidHoax Scamdemic coronavirus COVID19,4,88,"Fiddling The Figures
#CovidHoax #Scamdemic #coronavirus #COVID19 https://t.co/IyxfeBGHjh"
2020-08-23 21:53:09,,0,137,"This is what should be posted in every window of every business in the country!!!  Nothing more, nothing less...… https://t.co/dzEJY6pnCS"
2020-08-23 21:51:31,,0,140,@Old_man_Bateman @realCarrickRyan My pleasure. I get a lot of nonsense pr*cks myself who've dangerously spread fals… https://t.co/QpV9PUBMhN
2020-08-23 21:49:19,COVIDIOT CovidHoax,2,138,"NEW VIDEO FOR UR PLEASURE! 

COVIDolatry | Panic Surfer https://t.co/VjHoHsfYCU via @YouTube #COVIDIOT #CovidHoax… https://t.co/mQEmvqZ1UT"
2020-08-23 21:47:31,CovidHoax,1,47,"Sad story.
#CovidHoax 

https://t.co/gj2zXiNxWY"
2020-08-23 21:46:01,Aboutaleb CIA,2,144,"@Eerdmans @Dutchie46428586 Rotterdam, mayor #Aboutaleb (PvdA) &amp; Halsema (GL) mayor of 020 are Fellows of the 🕎/#CIA… https://t.co/bDwUTy5vrg"
2020-08-23 21:44:58,Deblasio NYC coronavirus,3,140,Use your voice to take on #Deblasio he is intentionally destroying #NYC the #coronavirus is now known to be no wors… https://t.co/txLk2d4yWm
2020-08-23 21:41:19,plandemic,1,139,@kanyewest hire me as your personal attorney! With your support I can file a lawsuit and end the #plandemic 123. I… https://t.co/WF603LpUz0
2020-08-23 21:38:08,CovidHoax,1,101,"They were stuntmen. And @Google @Twitter have wiped the evidence 

#CovidHoax https://t.co/5K3HYMo1ZT"
2020-08-23 21:36:39,Dublin,1,140,"There were immigrant Africans, Indians and Asians at the #Dublin protest yesterday, as concerned about clampdown on… https://t.co/svbvXVCMbe"
2020-08-23 21:29:04,killer NYC,2,117,"@NYGovCuomo Hey Douch, lets ask all those dead elderly. Lets get there opinion. #killer #NYC… https://t.co/I7VCJMY1VV"
2020-08-23 21:25:11,,0,140,What is the impact on pregnant women's mental health and the well-being of their unborn babes as a result of govern… https://t.co/ajsR8E1eYJ
2020-08-23 21:10:13,CovidHoax,1,121,@AzJack65 Ridiculous that we have to fight to comfortably breathe and are forced to wear face coverings...  ☹️ #CovidHoax
2020-08-23 21:08:01,,0,140,@scuzz76005857 Why? Because you're too lazy to research or because you're so naive that you believe what the govern… https://t.co/ztS8K7Ayi7
2020-08-23 21:03:34,COVIDHOAX,1,105,@ShamirRele @Kateandtheboys In reality all tests for a fake virus can only be TRUE NEGATIVES.  #COVIDHOAX
2020-08-23 21:02:52,CovidLivesMatter covidhoax covid19,3,112,"waiting now for the #CovidLivesMatter movement
blatant murder - wtf!
#covidhoax #covid19 https://t.co/JKoCzA6A9z"
2020-08-23 21:02:47,covid,1,140,"A lot of people prefer to believe that #covid is a hoax, It makes them feel better, They as Nathan Jessup put it:CA… https://t.co/Hd8ramq5fF"
2020-08-23 21:01:33,,0,140,"@JinnGhost @StealYoRedBull They literally said 2 million could die. Less than 200,000 (10%) actual and they complai… https://t.co/5rCbwUOBJp"
2020-08-23 20:58:58,COVIDIOTS CovidHoax,2,138,"#COVIDIOTS #CovidHoax 
""Starting tomorrow, to prevent Covid in public, everyone must stick a finger in their a$$."" https://t.co/r2FzMPPXj8"
2020-08-23 20:48:34,Covid_19 Democrat WakeUpAmerica CovidHoax,4,120,More die from the flu EVERY year....#Covid_19 is just more of the #Democrat’s EVIL shenanigans #WakeUpAmerica #CovidHoax
