created_date,hashtags,num_hashtags,tweet_length,tweet_text
2020-08-30 15:05:00,IndieAuthor,1,138,"Sakes Alive! A Haiku
  Amazing – how long
  You can hold your breath waiting
  For that other shoe.

#IndieAuthor… https://t.co/6jjTQHMMIo"
2020-08-30 15:04:02,wearamask socialdistancing trustscience,3,140,"If we all look out for one another: 
#wearamask,
Practice #socialdistancing,
Be community-minded,
#trustscience,
We… https://t.co/OTmZ9R9Vtc"
2020-08-30 15:03:42,COVID19 coronavirus TrumpsAmerica COVID WearAMask,5,96,https://t.co/M9Q8VGFFhe TRUMP'S AMERICA.  #COVID19 #coronavirus #TrumpsAmerica #COVID #WearAMask
2020-08-30 15:03:37,HermanCain,1,139,How long till we find out who the next #HermanCain is after that stunt on OUR lawn Thursday. My money is on Wilbur… https://t.co/XPxMK9b5ZH
2020-08-30 15:02:45,,0,148,"Phurlough Photoshop Challenge Day 167, Step right up folks, I got what ya need, &amp; it starts with a T &amp; it rhymes wi… https://t.co/8qQ21BZhUc"
2020-08-30 15:02:17,,0,140,@meeshryderdie @LeElanNoir @CAgovernor Are you “I'm SOOOO over this testing capacity BS”?  There’s a cheap and easy… https://t.co/mJ0Ma2STM4
2020-08-30 15:02:08,WearAMask COVID19,2,63,"#WearAMask #COVID19 
Another asshole... https://t.co/XFVtPwS2MP"
2020-08-30 15:02:04,,0,140,"We give my 3-year-old son an option: stay home or wear a mask. After some complaining, he puts it on. Not that hard… https://t.co/uqYKuWktlq"
2020-08-30 15:01:56,COVIDIDIOTS,1,140,Just don’t wear a mask then ... #COVIDIDIOTS... but stay out of shops and away from the nhs yeah?... any excuse for… https://t.co/usw0lchSlH
2020-08-30 15:01:38,Walmart,1,134,"Honestly, I'm not sure I could keep from laughing at a grown man wearing orange sweatpants in public #Walmart… https://t.co/hnIV5XLlfP"
2020-08-30 15:00:59,WearAMask,1,84,"No shoes, no shirt, no service
No mask, no service
What’s the difference? #WearAMask"
2020-08-30 15:00:55,,0,139,Did you know that wearing a mask protects others just as much as it protects you? Be considerate of your neighbors… https://t.co/OpgkDcGW52
2020-08-30 15:00:36,TrumpFailure COVIDIOTS WearAMask,3,137,@jasynk @HonorDSR @realDonaldTrump But I thought the Republicans were the law &amp; Order party WTF!? #TrumpFailure #COVIDIOTS #WearAMask
2020-08-30 15:00:30,,0,118,In need of fabric? Have to reupholster certain items in your home? You can find fabric at the… https://t.co/wDVCMlM4Pc
2020-08-30 15:00:01,RestaurantWeek,1,140,Tonight is the last night to order our #RestaurantWeek menu for takeout! Head to our website and enjoy 2 appetizers… https://t.co/WFEE6FxRh2
2020-08-30 14:59:29,,0,140,@sksmg54 @davenewworld_2 He is NOT right. He does not have the right to possibly infect others because he is too se… https://t.co/nZ1KZn9WNg
2020-08-30 14:59:09,COVID19,1,140,60% of Americans have an underlying medical condition that puts them at high risk of dying from #COVID19   35% of A… https://t.co/otqAo53KUa
2020-08-30 14:58:39,PPE WearAMask,2,140,I guess if you’re down w OPP you also need to be down w #PPE #WearAMask @baquast @simulacrandrew @densaer @marqnunn… https://t.co/8tfc0vMavN
2020-08-30 14:58:06,,0,140,I don’t know who needs to hear this but everyone talking about enjoying the slower pace of the pandemic/quarantine.… https://t.co/wa1Jjd04Kr
2020-08-30 14:58:01,WearAMask,1,129,#WearAMask Let this be a tragic reminder that you never know who you may be protecting besides yourself.… https://t.co/DWuUDV9VlT
2020-08-30 14:56:20,COVIDisreal,1,60,Love ya @MagdaSzubanski #COVIDisreal https://t.co/oUSuQwGQjo
2020-08-30 14:56:13,WearAMask,1,65,".@missnemmanuel is a Queen 😂👌🏼
#WearAMask https://t.co/MfPipcBVfi"
2020-08-30 14:55:47,,0,139,"@kathleenmadigan No wonder our local stores are not really enforcing the mask rule.  And why we have 182,000 dead.… https://t.co/zrMSKE4dtF"
2020-08-30 14:54:15,,0,140,@holmesieholmes @RadioFreeTom This woman looked healthier than me.  And if she can't wear a mask then get drive thr… https://t.co/payj4pMGLO
2020-08-30 14:54:11,,0,139,@kirbygriffin17 @CAgovernor Containing the virus requires slowing transmission. You know what will help with that?… https://t.co/VEw9xChDc9
2020-08-30 14:53:02,BTSARMY,1,144,"Just a shoutout for good behavior 😷 and hopefully can be a role model for #BTSARMY, other idols &amp; the rest of us...… https://t.co/8rnPHvpr5O"
2020-08-30 14:51:45,wearamask SundayMorning,2,107,Seems like a little birthday drama took place last night. #wearamask #SundayMorning https://t.co/1F9HHDZ9Sj
2020-08-30 14:51:42,WearAMask,1,127,"This may have happened in Alaska, but this guy is a Texan, so no surprise that he's a LOSER! #WearAMask https://t.co/pRER80dESO"
2020-08-30 14:47:57,COVIDIDIOTs,1,134,Thousands of coronavirus sceptics protest in Germany When will they ever learn long time passing #COVIDIDIOTs… https://t.co/ve6zF7TYXc
2020-08-30 14:47:29,washyourhands WearAMask SocialiseResponsibly,3,140,@Kuzia3000 @CAgovernor Wanna open the economy? #washyourhands #WearAMask #SocialiseResponsibly  A cheap and easy wa… https://t.co/Nr5DfozOqg
2020-08-30 14:47:16,,0,137,"Elephant Ear Saver, Hand Crocheted with Cotton Yarn - Face Mas by MyFingersFly https://t.co/ur19wWXsN6 via @Etsy… https://t.co/aAgnDfYFYC"
2020-08-30 14:46:11,,0,140,Small Dog is happily ignorant because she doesn't stay up to date on current events and relies on her privileged cu… https://t.co/WJs46xcnG8
2020-08-30 14:45:54,WearAMask,1,140,Please #WearAMask .💖 I’ll do this for everyone. I know it’s a pain for some but I CARE about you! I want to stop th… https://t.co/gXQBsaA8lk
2020-08-30 14:44:45,,0,139,"My hometown just held a Daddy/daughter dance and didn't require masks. Yes, it was an outdoor event in a fenced in… https://t.co/DgbCehUS3u"
2020-08-30 14:44:35,COVID19,1,140,'Mass use of hand gels for #COVID19 risks creating superbug armageddon' https://t.co/V7Prd94Yui while wearing masks… https://t.co/XS6uQlrsfg
2020-08-30 14:44:31,smallbusiness facemask summer style instagood teachersofinstagram,6,139,"Let’s get back to normalcy⁣
.⁣
.⁣
.⁣
.⁣
.⁣
#smallbusiness #facemask #summer #style #instagood #teachersofinstagram… https://t.co/kw2iS6tYql"
2020-08-30 14:41:33,bidenharris2020 vote restoredemocracy wearamask,4,125,Everyone needs to get and vote this November! #bidenharris2020 #vote #restoredemocracy #wearamask #🇺🇸 https://t.co/IDlfA18Fgd
2020-08-30 14:41:16,,0,140,"Mew hair inspirations...... Even if you don't like wearing a mask, think of it as a new way to accessorise.... even… https://t.co/nQYiNVqIYh"
2020-08-30 14:40:50,WearAMask TrumpIsUnwell TrumpViolence,3,133,@realDonaldTrump is this one of your minions that you’ve unleashed? #WearAMask #TrumpIsUnwell #TrumpViolence… https://t.co/cGFafPMX9Z
2020-08-30 14:40:06,WearAMask TrumpViolence,2,118,@kenolin1 Who is the old fool? He is forgetting about our same rights by not wearing a mask. #WearAMask #TrumpViolence
2020-08-30 14:40:00,SaySomething OperaInnovation,2,139,"Kylie Minogue’s #SaySomething played a key role in my latest #OperaInnovation blog about “UnShakeable,” Joe Illick… https://t.co/7keqBES1WL"
2020-08-30 14:37:50,WearAMask,1,84,Excited for school to start?? Remind your kids to #WearAMask https://t.co/g8OpWPmY7Z
2020-08-30 14:37:37,,0,139,Kudos to this lady who stood her ground.  I don’t know if I could have been that restrained. I wanted to punch him… https://t.co/JXEzQXwVOn
2020-08-30 14:37:11,WearAMask,1,89,Can't wait to see that curveball against big leaguers. #WearAMask https://t.co/2PVdRXIvPG
2020-08-30 14:36:32,,0,139,@CareemJOR guys either you tell ALL your drivers/captains to wear the damn masks or you need to make some internal… https://t.co/vj5j3kTwPN
2020-08-30 14:35:40,TrafalgarSquare,1,140,"The following 3-tweet thread cannot be retweeted often enough. 
Scenes at #TrafalgarSquare on Saturday were disgust… https://t.co/IJNjqJ26XT"
2020-08-30 14:35:33,TrumpViolence TrumpFailure WorstPresidentInHistory wearamask VoteBlueToEndThisNightmare,5,138,"Welcome to America!  
#TrumpViolence #TrumpFailure #WorstPresidentInHistory #wearamask #VoteBlueToEndThisNightmare https://t.co/R6MvgBgwhy"
2020-08-30 14:35:20,WearAMask indiewrestling livewire wwa4,4,136,if I can wear a mask while wrestling then you can wear one in walmart #WearAMask #indiewrestling #livewire #wwa4 https://t.co/UBamkiHjVQ
2020-08-30 14:34:07,WearAMask,1,129,IF I DON’T SEE A GREEN WITCH FLY AND A BLONDE SOPRANO IN A DAMN BUBBLE BY NEXT APRIL IM GOING TO GO FUCKING BALLISTIC  #WearAMask
2020-08-30 14:34:01,WearAMask,1,139,"Wearing a mask doesn't reduce your oxygen levels, and 6 other mask myths you should STOP believing now! #WearAMask… https://t.co/0F248gZUje"
2020-08-30 14:33:18,,0,140,@Femi_Sorry My husband finds wearing a mask difficult. He wears glasses and hearing aids and finds 3 things (glasse… https://t.co/hkeaLQkD8W
2020-08-30 14:31:58,WearAMask WearADamnMask,2,128,"JHU|COVID-19 Data Tracker Sunday, 8.30.2020 

[CHOOSE YOUR STATE ]—&gt;[MENU] #WearAMask #WearADamnMask… https://t.co/Jt0hZynZ3s"
2020-08-30 14:31:27,,0,140,"wear a mask (properly!), stay safe, be kind to others, support artists, wear over sized shirts with your fave actor… https://t.co/ZWKYJkS30E"
2020-08-30 14:31:03,,0,140,CDC | United States; Hispanics have a COVID-19 hospitalization rate 4x’s that of Whites. African Americans? 5x’s Wh… https://t.co/H96arc5PRz
2020-08-30 14:30:50,,0,139,"@juliebosman @mina_bloom_ Kenosha is a byproduct of gentrification, especially al those that sold homes in Chicago… https://t.co/Fy7okMwqVc"
2020-08-30 14:30:44,,0,139,@NManningPO @torisuemagoo @AllbrightNFL Understood - COVID19 affects each of us differently. Errors and sloppiness… https://t.co/oXwMB9Q7sd
